Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards
1,Logan O'Hoppe,24,C,2.7,136,522,479,64,117,17,1,20,56,2,3,33,155,.244,.303,.409,.712,100,.315,102,196,7,8,1,1,0,*2/HD,
2,Nolan Schanuel*,22,1B,1.3,147,607,519,62,130,19,0,13,54,10,1,68,103,.250,.343,.362,.706,101,.321,103,188,14,9,3,7,0,*3/HD,
3,Brandon Drury,31,2B,-2.0,97,360,325,28,55,7,0,4,15,1,0,27,81,.169,.242,.228,.469,35,.228,38,74,13,5,0,3,0,45D3/H,
4,Zach Neto,23,SS,5.1,155,602,542,70,135,34,1,23,77,30,10,39,140,.249,.318,.443,.761,113,.334,112,240,14,16,4,1,1,*6/H,
5,Anthony Rendon,34,3B,0.6,57,238,206,21,45,10,0,0,14,6,1,23,35,.218,.307,.267,.574,66,.283,75,55,4,5,0,4,0,5/D,
6,Taylor Ward,30,LF,2.3,156,663,585,73,144,26,2,25,75,6,4,63,163,.246,.323,.426,.748,111,.329,111,249,11,7,0,8,0,*7D,
7,Mickey Moniak*,26,CF,-0.1,124,418,392,48,86,17,2,14,49,8,4,21,114,.219,.266,.380,.646,81,.283,78,149,3,4,0,1,0,*89H/D7,
8,Jo Adell,25,RF,0.9,130,451,405,54,84,15,2,20,62,15,10,35,126,.207,.280,.402,.682,91,.297,90,163,9,7,0,3,1,*9H/D8,
9,Willie Calhoun*,29,DH,-0.2,68,254,229,26,56,16,0,5,20,0,1,23,31,.245,.315,.380,.695,97,.301,92,87,5,1,0,1,1,D/H37,
Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
10,Luis Rengifo#,27,IF,1.9,78,304,283,41,85,13,1,6,30,24,7,16,44,.300,.347,.417,.763,116,.344,116,118,6,4,1,0,0,54/H69D,
11,Kevin Pillar,35,CF,0.3,83,282,259,37,61,14,1,7,41,10,3,12,61,.236,.291,.378,.669,88,.298,86,98,10,9,0,2,0,8H79/D,
12,Matt Thaiss*,29,C,0.6,57,186,157,14,32,9,0,2,16,3,0,28,58,.204,.323,.299,.622,79,.295,83,47,2,0,0,1,0,2/DH,
13,Mike Trout,32,CF,1.1,29,126,109,17,24,1,2,10,14,6,1,16,27,.220,.325,.541,.867,140,.372,136,59,0,1,0,0,1,8/D,
14,Michael Stefanic,28,2B,-0.2,40,124,110,8,24,4,0,0,8,0,0,10,20,.218,.301,.255,.555,61,.256,58,28,5,3,1,0,0,4/HD15,
15,Luis Guillorme*,29,IF,0.1,50,117,104,6,24,5,1,0,3,1,2,11,23,.231,.302,.298,.600,72,.272,74,31,4,0,1,1,0,45/H61D,
16,Niko Kavadas*,25,DH,-0.2,30,106,93,11,17,2,0,4,8,1,0,11,41,.183,.283,.333,.616,75,.280,74,31,0,2,0,0,0,D/3H,
17,Miguel Sanó,31,CI,-0.1,28,95,83,9,17,3,0,2,6,0,0,9,36,.205,.295,.313,.608,73,.272,70,26,2,2,0,1,0,5/D3H1,
18,Eric Wagaman,26,3B,0.4,18,74,72,6,18,5,0,2,10,0,0,2,17,.250,.270,.403,.673,88,.291,83,29,1,0,0,0,0,5/7H,
19,Jack López,31,MI,0.0,27,71,67,4,17,3,0,1,6,0,1,2,25,.254,.286,.343,.629,78,.289,87,23,2,1,1,0,0,4/6H9,
20,Aaron Hicks#,34,OF,-0.7,18,63,57,6,8,0,0,1,5,0,0,6,23,.140,.222,.193,.415,20,.196,15,11,1,0,0,0,0,/9DH781,
21,Kyren Paris,22,2B,-0.3,21,59,51,4,6,2,0,1,5,1,0,7,17,.118,.224,.216,.440,26,.225,32,11,1,0,0,0,0,4/H6D,
22,Cole Tucker#,27,UT,-0.5,24,57,50,3,9,4,1,0,3,3,1,6,17,.180,.263,.300,.563,60,.255,55,15,0,0,0,1,0,/5D7H1,
23,Gustavo Campero#,26,RF,-0.1,13,48,46,6,11,0,1,1,6,3,0,0,8,.239,.271,.348,.619,74,.305,83,16,0,2,0,0,0,9/7H,
24,Jordyn Adams,24,OF,-0.2,11,38,35,4,8,0,0,1,4,2,0,3,12,.229,.289,.314,.604,72,.280,67,11,1,0,0,0,0,/987H,
25,Ehire Adrianza#,34,IF,0.1,8,28,26,4,5,1,0,1,2,0,0,2,11,.192,.250,.346,.596,67,.255,58,9,1,0,0,0,0,/54H,
26,Charles Leblanc,28,IF,0.1,11,28,21,6,4,0,0,2,6,0,0,7,9,.190,.393,.476,.869,146,.378,145,10,0,0,0,0,0,/543D,
27,Keston Hiura,27,2B,-0.6,10,27,27,1,4,0,0,0,1,0,1,0,10,.148,.148,.148,.296,-15,.110,-33,4,0,0,0,0,0,/4DH,
