Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards
Nelson Cruz,35,DH,4.8,155,667,589,96,169,27,1,43,105,2,0,62,159,0.287,0.36,0.555,0.915,147,0.392,152,327,15,9,0,7,5,D9,MVP-15
Robinson Canó*,33,2B,7.3,161,715,655,107,195,33,2,39,103,0,1,47,100,0.298,0.35,0.533,0.882,138,0.372,138,349,18,8,0,5,8,*4/D,"AS,MVP-8"
Kyle Seager*,28,3B,6.7,158,676,597,89,166,36,3,30,99,3,1,69,108,0.278,0.359,0.499,0.859,133,0.367,134,298,18,8,0,2,10,*5/D,MVP-12
Seth Smith*,33,RF,0.5,137,438,378,62,94,15,0,16,63,0,0,48,89,0.249,0.342,0.415,0.758,108,0.332,107,157,11,8,0,4,1,*97HD,0
Adam Lind*,32,1B,-0.3,126,430,401,48,96,17,0,20,58,0,1,26,89,0.239,0.286,0.431,0.717,94,0.302,87,173,14,1,0,2,3,3HD,0
Dae-ho Lee,34,1B,0.1,104,317,292,33,74,9,0,14,49,0,0,20,74,0.253,0.312,0.428,0.74,102,0.328,105,125,8,5,0,0,2,3H/D,0
Leonys Martín*,28,CF,1.1,143,576,518,72,128,17,3,15,47,24,6,44,149,0.247,0.306,0.378,0.684,88,0.302,82,196,10,3,4,7,0,*8,0
Franklin Gutierrez,33,RF,0.3,98,283,248,33,61,9,0,14,39,1,0,29,85,0.246,0.329,0.452,0.78,112,0.342,114,112,6,3,0,3,0,9HD/7,0
Ketel Marte#,22,SS,0.4,119,466,437,55,113,21,2,1,33,11,5,18,84,0.259,0.287,0.323,0.61,68,0.273,64,141,10,2,3,6,0,*6/H,0
Mike Zunino,25,C,1.8,55,192,164,16,34,7,0,12,31,0,0,21,65,0.207,0.318,0.47,0.787,113,0.346,118,77,0,6,0,1,0,2/HD,0
Nori Aoki*,34,LF,1.7,118,467,417,63,118,24,4,4,28,7,9,34,45,0.283,0.349,0.388,0.738,104,0.331,112,162,9,9,5,1,0,*78H,0
Chris Iannetta,33,C,0.2,94,338,295,23,62,14,0,7,24,0,0,38,83,0.21,0.303,0.329,0.631,75,0.287,75,97,4,2,1,2,0,2/D,0
Shawn O'Malley#,28,SS,0.1,89,232,210,24,48,9,2,2,17,6,2,18,59,0.229,0.299,0.319,0.618,71,0.28,68,67,4,3,1,0,0,69H74/58D,0
Guillermo Heredia,25,LF,0.6,45,107,92,12,23,3,0,1,12,1,1,12,15,0.25,0.349,0.315,0.664,86,0.306,91,29,1,2,1,0,0,79/H8,0
Steve Clevenger*,30,C,0.0,22,76,68,7,15,3,0,1,7,0,0,8,14,0.221,0.303,0.309,0.611,70,0.277,67,21,3,0,0,0,0,2/HD,0
Luis Sardiñas#,23,SS,-0.5,32,77,72,12,13,0,0,2,5,1,1,1,25,0.181,0.203,0.264,0.467,27,0.213,20,19,3,1,3,0,0,6H/34517,0
Ben Gamel*,24,OF,-0.2,27,47,40,8,8,2,0,1,5,0,0,5,15,0.2,0.289,0.325,0.614,69,0.295,80,13,0,0,2,0,0,9/H78,0
Jesús Sucre,28,C,0.5,9,29,25,4,12,2,0,1,5,0,0,2,5,0.48,0.552,0.68,1.232,238,0.522,246,17,1,2,0,0,0,/2,0
Stefen Romero,27,UT,-0.3,9,19,17,1,4,1,0,0,3,0,0,1,4,0.235,0.263,0.294,0.557,54,0.289,77,5,0,0,0,1,0,/7H93,0
Daniel Robertson,30,OF,-0.3,9,21,19,1,5,1,0,0,1,0,1,1,3,0.263,0.3,0.316,0.616,71,0.25,64,6,2,0,1,0,0,/79H8,0
Mike Freeman*,28,MI,0.1,13,13,13,1,5,1,0,0,1,0,0,0,2,0.385,0.385,0.462,0.846,132,0.362,129,6,1,0,0,0,0,/H46D,0
Daniel Vogelbach*,23,1B,-0.3,8,13,12,0,1,0,0,0,0,0,0,1,6,0.083,0.154,0.083,0.237,-31,0.122,-45,1,0,0,0,0,0,/3HD,0
Chris Taylor,25,DH,-0.1,2,3,3,0,1,0,0,0,0,0,0,0,2,0.333,0.333,0.333,0.667,85,0.297,83,1,0,0,0,0,0,/6DH,0
Félix Hernández,30,P,-0.1,3,8,6,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,-100,0.0,-213,0,0,0,2,0,0,1,0
Wade Miley*,29,P,0.0,3,7,7,1,1,0,0,0,0,0,0,0,1,0.143,0.143,0.143,0.286,-21,0.127,-41,1,0,0,0,0,0,1,0
James Paxton*,27,P,0.0,2,4,3,0,0,0,0,0,0,0,0,1,3,0.0,0.25,0.0,0.25,-21,0.173,-9,0,0,0,0,0,0,1,0
Hisashi Iwakuma,35,P,0.0,2,3,2,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0.0,-252,0,0,0,1,0,0,1,0
Joel Peralta,40,P,0.0,3,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0.0,-125,0,0,0,0,0,0,1,0
