Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards
1,Martín Maldonado,35,C,0.4,113,379,344,40,64,12,0,15,45,0,0,22,116,.186,.248,.352,.600,70,.268,67,121,6,7,4,2,0,*2,
2,Yuli Gurriel,38,1B,-0.2,146,584,545,53,132,40,0,8,53,8,0,30,73,.242,.288,.360,.647,85,.293,83,196,13,6,0,3,0,*3/DH,
3,Jose Altuve,32,2B,5.2,141,604,527,103,158,39,0,28,57,18,1,66,87,.300,.387,.533,.921,161,.405,163,281,13,10,0,1,2,*4/HD,"AS,MVP-5,SS"
4,Jeremy Peña,24,SS,5.0,136,558,521,72,132,20,2,22,63,11,2,22,135,.253,.289,.426,.715,102,.319,102,222,5,6,1,5,0,*6/H,"ROY-5,GG"
5,Alex Bregman,28,3B,4.6,155,656,548,93,142,38,0,23,93,1,2,87,77,.259,.366,.454,.820,134,.358,133,249,18,11,0,10,1,*5/H,MVP-19
6,Michael Brantley*,35,LF,1.3,64,277,243,28,70,14,1,5,26,1,1,31,30,.288,.370,.416,.785,126,.345,124,101,1,1,1,1,2,D7,
7,Chas McCormick,27,CF,1.3,119,407,359,47,88,12,2,14,44,4,3,46,106,.245,.332,.407,.738,111,.326,111,146,5,1,0,1,0,*789/HD,
8,Kyle Tucker*,25,RF,5.4,150,609,544,71,140,28,1,30,107,25,4,59,95,.257,.330,.478,.808,129,.356,127,260,11,1,0,2,4,*9/DH,"AS,MVP-15,GG"
9,Yordan Alvarez*,25,DH,6.8,135,561,470,95,144,29,2,37,97,1,1,78,106,.306,.406,.613,1.019,188,.426,184,288,12,6,0,7,9,D7/H,"AS,MVP-3,SS"
Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
10,Aledmys Díaz,31,UT,1.0,92,327,305,35,74,13,0,12,38,1,1,18,53,.243,.287,.403,.691,96,.307,96,123,7,2,0,2,0,746H5/D39,
11,Mauricio Dubón,27,CF,-0.2,83,216,197,21,41,8,0,3,16,2,3,12,26,.208,.254,.294,.548,57,.239,49,58,7,1,3,3,0,864/7H9,
12,Trey Mancini,30,UT,-0.5,51,186,165,17,29,7,0,8,22,0,0,18,49,.176,.258,.364,.622,76,.274,72,60,8,1,0,2,0,D73/H9,
13,Jake Meyers,26,CF,0.5,52,160,150,13,34,6,2,1,15,2,1,7,54,.227,.269,.313,.582,67,.268,68,47,1,2,0,1,0,8/HD,
14,Jose Siri,26,CF,0.7,48,147,135,18,24,4,2,3,10,6,1,9,48,.178,.238,.304,.542,54,.247,48,41,2,2,0,1,0,8/9H7D,
15,Christian Vázquez,31,C,-0.1,35,108,104,8,26,3,0,1,10,0,2,4,18,.250,.278,.308,.585,68,.252,62,32,3,0,0,0,0,2/HD,
16,Jason Castro*,35,C,-0.6,34,88,78,6,9,2,0,1,3,1,0,8,40,.115,.205,.179,.384,12,.187,7,14,1,1,0,1,0,2/H,
17,J.J. Matijevic*,26,DH,-0.1,32,71,67,7,14,2,0,2,5,1,0,2,25,.209,.254,.328,.582,66,.286,78,22,1,2,0,0,0,HD3/7,
18,Niko Goodrum#,30,IF,-0.2,15,45,43,2,5,2,0,0,1,1,0,2,23,.116,.156,.163,.318,-8,.170,-8,7,0,0,0,0,0,4/3DH,
19,David Hensley,26,UT,0.3,16,34,29,7,10,2,1,1,5,0,0,5,6,.345,.441,.586,1.027,192,.439,191,17,3,0,0,0,0,/D45H67,
20,Korey Lee,23,C,-0.5,12,26,25,1,4,2,0,0,4,0,0,1,9,.160,.192,.240,.432,23,.189,10,6,1,0,0,0,0,2/H,
21,Yainer Diaz,23,DH,-0.1,6,9,8,0,1,1,0,0,1,0,0,1,2,.125,.222,.250,.472,36,.216,30,2,0,0,0,0,0,/D2H,
22,Taylor Jones,28,,,1,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-127,0,0,0,0,0,0,/H,
23,Joe Perez,22,3B,0.0,1,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,.000,-127,0,0,0,0,0,0,/5H,
,Team Totals,,,30.1,162,6054,5409,737,1341,284,13,214,715,83,22,528,1179,.248,.319,.424,.743,111,.329,110,2293,118,60,9,42,18,,
