Rk,Player,Age,Pos,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards
1,Shota Imanaga*,30,SP,3.0,15,3,.833,2.91,29,29,0,0,0,0,173.1,149,66,56,27,28,0,174,3,0,3,694,137,3.72,1.021,7.7,1.4,1.5,9.0,6.21,"AS,CYA-5,ROY-4"
2,Jameson Taillon,32,SP,2.2,12,8,.600,3.27,28,28,0,0,0,0,165.1,154,67,60,21,33,0,125,1,2,4,675,122,3.92,1.131,8.4,1.1,1.8,6.8,3.79,
3,Javier Assad,26,SP,1.6,7,6,.538,3.73,29,29,0,0,0,0,147.0,143,64,61,20,63,0,124,5,0,5,638,107,4.64,1.401,8.8,1.2,3.9,7.6,1.97,
4,Justin Steele*,28,SP,1.9,5,5,.500,3.07,24,24,0,1,0,0,134.2,111,54,46,12,37,0,135,4,0,1,555,130,3.23,1.099,7.4,0.8,2.5,9.0,3.65,
5,Kyle Hendricks,34,SP,-1.6,4,12,.250,5.92,29,24,4,0,0,0,130.2,147,88,86,21,43,0,87,3,0,0,567,67,4.98,1.454,10.1,1.4,3.0,6.0,2.02,
Rk,Player,Age,Pos,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards
6,Héctor Neris,35,CL,0.1,8,4,.667,3.89,46,0,33,0,0,17,44.0,41,20,19,4,26,2,46,1,3,1,196,103,4.10,1.523,8.4,0.8,5.3,9.4,1.77,
7,Drew Smyly*,35,RP,0.0,4,8,.333,3.84,50,0,8,0,0,0,58.2,57,29,25,10,25,3,56,3,0,5,257,104,4.90,1.398,8.7,1.5,3.8,8.6,2.24,
8,Tyson Miller,28,RP,1.3,5,1,.833,2.15,49,0,9,0,0,1,50.1,31,13,12,5,10,0,42,4,0,0,190,187,3.62,0.815,5.5,0.9,1.8,7.5,4.20,
9,Porter Hodge,23,RP,1.3,3,1,.750,1.88,39,0,17,0,0,9,43.0,19,10,9,2,19,0,52,1,0,1,164,213,2.75,0.884,4.0,0.4,4.0,10.9,2.74,
10,Mark Leiter Jr.,33,RP,-0.3,2,4,.333,4.21,39,0,3,0,0,0,36.1,27,20,17,2,13,0,53,1,0,2,152,95,2.12,1.101,6.7,0.5,3.2,13.1,4.08,
Rk,Player,Age,Pos,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards
11,Hayden Wesneski,26,,-0.3,3,6,.333,3.86,28,7,2,0,0,0,67.2,56,37,29,12,21,0,67,2,1,1,283,104,4.51,1.138,7.4,1.6,2.8,8.9,3.19,
12,Ben Brown,24,,0.9,1,3,.250,3.58,15,8,0,0,0,0,55.1,41,22,22,5,19,0,64,1,0,2,222,112,3.11,1.084,6.7,0.8,3.1,10.4,3.37,
13,Jordan Wicks*,24,,-0.5,2,4,.333,5.48,11,10,0,0,0,0,46.0,55,31,28,9,20,0,42,2,0,3,212,73,5.32,1.630,10.8,1.8,3.9,8.2,2.10,
14,Keegan Thompson,29,,0.6,2,1,.667,2.67,24,0,9,0,0,2,30.1,19,12,9,3,18,0,36,0,0,0,127,151,3.86,1.220,5.6,0.9,5.3,10.7,2.00,
15,Jorge López,31,,0.6,1,1,.500,2.03,24,0,8,0,0,2,26.2,21,6,6,3,8,0,31,0,0,0,106,199,3.20,1.088,7.1,1.0,2.7,10.5,3.88,
16,Ethan Roberts,26,,0.2,1,1,.500,3.71,21,0,6,0,0,0,26.2,31,11,11,3,10,0,26,1,0,1,118,109,3.92,1.538,10.5,1.0,3.4,8.8,2.60,
17,Nate Pearson,27,,0.5,2,1,.667,2.73,19,1,5,0,0,0,26.1,22,8,8,4,4,0,23,1,0,0,103,147,3.96,0.987,7.5,1.4,1.4,7.9,5.75,
18,Luke Little*,23,,0.3,3,1,.750,3.46,30,1,7,0,0,0,26.0,15,11,10,1,18,1,28,4,0,3,109,116,4.05,1.269,5.2,0.3,6.2,9.7,1.56,
19,Colten Brewer,31,,-0.6,0,0,,5.66,16,0,8,0,0,1,20.2,24,16,13,1,9,0,22,1,0,1,95,71,3.12,1.597,10.5,0.4,3.9,9.6,2.44,
20,Adbert Alzolay,29,,-0.6,1,4,.200,4.67,18,0,11,0,0,4,17.1,19,13,9,6,6,0,13,1,0,0,75,87,7.38,1.442,9.9,3.1,3.1,6.8,2.17,
21,Yency Almonte,30,,0.1,1,0,1.000,3.45,17,0,2,0,0,1,15.2,9,7,6,1,8,1,20,2,0,1,67,118,3.36,1.085,5.2,0.6,4.6,11.5,2.50,
22,Julian Merryweather,32,,-0.4,1,1,.500,6.60,15,0,4,0,0,0,15.0,18,11,11,0,9,0,14,3,0,2,74,62,3.70,1.800,10.8,0.0,5.4,8.4,1.56,
23,Daniel Palencia,24,,-0.1,0,1,.000,6.14,10,0,3,0,0,1,14.2,14,11,10,0,12,0,16,1,0,0,69,66,3.64,1.773,8.6,0.0,7.4,9.8,1.33,
24,José Cuas,30,,-0.4,0,0,,7.43,9,0,2,0,0,0,13.1,16,12,11,3,6,0,14,3,0,2,65,55,6.02,1.650,10.8,2.0,4.1,9.5,2.33,
25,Caleb Kilian,27,,0.0,0,1,.000,4.22,2,1,0,0,0,0,10.2,11,6,5,2,6,0,7,0,0,1,48,98,5.98,1.594,9.3,1.7,5.1,5.9,1.17,
26,Shawn Armstrong,33,,0.0,0,1,.000,4.91,8,0,2,0,0,0,7.1,10,4,4,0,4,0,4,0,0,0,32,85,3.71,1.909,12.3,0.0,4.9,4.9,1.00,
27,Jack Neely,24,,-0.2,0,0,,9.00,6,0,6,0,0,0,6.0,8,6,6,2,2,0,7,0,0,1,28,47,6.17,1.667,12.0,3.0,3.0,10.5,3.50,
28,Trey Wingenter,30,,0.1,0,0,,3.00,5,0,4,0,0,0,6.0,8,2,2,1,2,0,3,0,0,0,28,141,5.33,1.667,12.0,1.5,3.0,4.5,1.50,
29,Richard Lovelady*,28,,-0.3,0,1,.000,7.94,7,0,0,0,0,0,5.2,9,5,5,1,2,0,6,0,0,0,28,53,4.40,1.941,14.3,1.6,3.2,9.5,3.00,
30,Jesús Tinoco,29,,0.2,0,0,,0.00,2,0,2,0,0,0,4.0,3,0,0,0,0,0,3,0,0,0,14,,1.67,0.750,6.8,0.0,0.0,6.8,,
31,Hunter Bigge,26,,0.1,0,0,,2.70,4,0,2,0,0,0,3.1,3,1,1,0,2,0,5,0,0,0,15,164,1.97,1.500,8.1,0.0,5.4,13.5,2.50,
32,Gavin Hollowell,26,,0.1,0,0,,0.00,1,0,1,0,0,0,1.1,2,0,0,0,0,0,1,0,0,0,6,,1.67,1.500,13.5,0.0,0.0,6.8,,
33,Enoli Paredes,28,,0.0,0,0,,0.00,1,0,1,0,0,0,1.0,0,0,0,0,0,0,2,0,0,0,3,,-0.83,0.000,0.0,0.0,0.0,18.0,,
34,David Bote,31,,0.0,0,0,,0.00,1,0,1,0,0,0,1.0,1,0,0,0,1,0,0,0,0,0,5,,6.17,2.000,9.0,0.0,9.0,0.0,0.00,
35,Matt Mervis,26,,-0.2,0,0,,81.00,1,0,0,0,0,0,0.2,7,6,6,0,0,0,0,0,0,0,9,8,3.17,10.500,94.5,0.0,0.0,0.0,,
36,Patrick Wisdom,32,,0.0,0,0,,0.00,1,0,1,0,0,0,0.1,1,0,0,0,1,0,0,0,0,0,3,,12.17,6.000,27.0,0.0,27.0,0.0,0.00,
,Team Totals,,,9.5,83,79,.512,3.79,162,162,161,1,0,38,1432.1,1302,669,603,181,485,7,1348,48,6,40,6032,106,4.04,1.248,8.2,1.1,3.0,8.5,2.78,
