Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Bats,Under Mendoza Line?,20/20 Club,30/30 Club,40/40 Club,50/50 Club,60/60 Club,30/70 Club
Rafael Devers*,25,3B,4.5,141,614,555,84,164,42,1,27,88,3,1,50,114,0.295,0.358,0.521,0.879,141,0.381,143,289,14,6,0,3,11,*5/DH,"AS,MVP-14",Left,No,No,No,No,No,No,No
Alex Verdugo*,26,LF,1.1,152,644,593,75,166,39,1,11,74,1,3,42,86,0.28,0.328,0.405,0.732,102,0.323,101,240,14,3,0,6,2,*79/DH,0,Left,No,No,No,No,No,No,No
Xander Bogaerts,29,SS,5.9,150,631,557,84,171,38,0,15,73,8,2,57,118,0.307,0.377,0.456,0.833,131,0.367,131,254,14,10,0,7,2,*6/DH,"AS,MVP-9,SS",Right,No,No,No,No,No,No,No
Trevor Story,29,2B,2.5,94,396,357,53,85,22,0,16,66,13,0,32,122,0.238,0.303,0.434,0.737,102,0.334,102,155,9,3,0,4,4,4/H,0,Right,No,No,No,No,No,No,No
J.D. Martinez,34,DH,1.1,139,596,533,76,146,43,1,16,62,0,0,52,145,0.274,0.341,0.448,0.79,117,0.346,117,239,20,5,0,5,1,*D,AS,Right,No,No,No,No,No,No,No
Kiké Hernández,30,CF,0.9,93,402,361,48,80,24,0,6,45,0,2,34,71,0.222,0.291,0.338,0.629,75,0.284,73,122,11,3,0,4,0,846/H,0,Right,No,No,No,No,No,No,No
Christian Vázquez,31,C,2.2,84,318,294,33,83,20,0,8,42,1,2,18,51,0.282,0.327,0.432,0.759,109,0.331,108,127,7,3,0,3,0,2/3H4,0,Right,No,No,No,No,No,No,No
Bobby Dalbec,27,1B,-0.7,117,353,317,40,68,9,2,12,39,3,0,29,118,0.215,0.283,0.369,0.652,80,0.302,83,117,5,3,0,4,0,35H/D46,0,Right,No,No,No,No,No,No,No
Christian Arroyo,27,2B,0.7,87,300,280,32,80,16,1,6,36,5,1,13,49,0.286,0.322,0.414,0.736,103,0.324,99,116,7,3,2,2,2,4965/3DH,0,Right,No,No,No,No,No,No,No
Jackie Bradley Jr.*,32,RF,-0.4,91,290,271,21,57,19,1,3,29,2,3,17,58,0.21,0.257,0.321,0.578,60,0.257,54,87,3,0,2,0,0,98/H1,0,Left,No,No,No,No,No,No,No
Franchy Cordero*,27,1B,-0.2,84,275,242,36,53,17,1,8,29,4,1,28,92,0.219,0.3,0.397,0.697,92,0.309,89,96,1,1,2,2,1,397H/D8,0,Left,No,No,No,No,No,No,No
Tommy Pham,34,LF,-0.3,53,235,214,32,50,12,0,6,24,1,1,14,67,0.234,0.298,0.374,0.672,86,0.301,85,80,7,6,0,1,0,7/D,0,Right,No,No,No,No,No,No,No
Rob Refsnyder,31,OF,0.9,57,177,153,25,47,11,0,6,21,1,1,15,46,0.307,0.384,0.497,0.881,143,0.385,146,76,1,6,0,3,0,9H8/D7,0,Right,No,No,No,No,No,No,No
Jarren Duran*,25,CF,-0.1,58,223,204,23,45,14,3,3,17,7,1,14,63,0.221,0.283,0.363,0.645,78,0.299,79,74,1,4,0,1,0,8/9HD,0,Left,No,No,No,No,No,No,No
Kevin Plawecki,31,C,-1.1,60,175,157,15,34,8,0,1,12,0,0,14,28,0.217,0.287,0.287,0.574,61,0.26,54,45,5,2,1,1,0,2/H1,0,Right,No,No,No,No,No,No,No
Reese McGuire*,27,C,0.9,36,108,98,13,33,5,1,3,12,1,0,6,23,0.337,0.377,0.5,0.877,142,0.382,142,49,4,1,1,1,0,2/H1,0,Left,No,No,No,No,No,No,No
Triston Casas*,22,1B,0.1,27,95,76,11,15,1,0,5,12,1,0,19,23,0.197,0.358,0.408,0.766,113,0.354,120,31,4,0,0,0,0,3/H,0,Left,No,No,No,No,No,No,No
Connor Wong,26,C,-0.1,27,56,48,8,9,3,0,1,7,0,0,5,16,0.188,0.273,0.313,0.585,63,0.256,51,15,0,1,1,1,0,2/H45D,0,Right,No,No,No,No,No,No,No
Eric Hosmer*,32,1B,0.0,14,50,45,6,11,3,0,0,4,0,0,4,9,0.244,0.32,0.311,0.631,77,0.341,113,14,2,1,0,0,0,3,0,Left,No,No,No,No,No,No,No
Jeter Downs,23,IF,-0.6,14,41,39,4,6,1,0,1,4,0,0,1,21,0.154,0.171,0.256,0.427,17,0.183,-1,10,0,0,0,1,0,/45H6D,0,Right,No,No,No,No,No,No,No
Yolmer Sánchez#,30,2B,-0.5,14,44,37,1,4,0,0,0,2,0,2,5,13,0.108,0.214,0.108,0.322,-6,0.139,-22,4,0,0,2,0,0,4/1,0,Both,No,No,No,No,No,No,No
Abraham Almonte#,33,OF,0.0,15,37,35,7,9,2,0,1,2,1,0,1,12,0.257,0.297,0.4,0.697,92,0.333,103,14,1,1,0,0,0,/H87D9,0,Both,No,No,No,No,No,No,No
Jaylin Davis,27,OF,0.2,12,27,24,4,8,1,0,0,2,0,0,3,11,0.333,0.407,0.375,0.782,120,0.356,124,9,0,0,0,0,0,/H897,0,Right,No,No,No,No,No,No,No
Yu Chang,26,IF,0.0,11,26,20,3,3,2,0,0,1,0,0,5,7,0.15,0.346,0.25,0.596,70,0.291,77,5,1,1,0,0,0,/643,0,Right,No,No,No,No,No,No,No
Jonathan Araúz#,23,MI,-0.4,6,12,10,1,0,0,0,0,1,0,0,0,3,0.0,0.0,0.0,0.0,-100,0.0,-155,0,0,0,1,1,0,/46H,0,Both,No,No,No,No,No,No,No
Travis Shaw*,32,DH,-0.7,7,19,19,0,0,0,0,0,0,0,0,0,7,0.0,0.0,0.0,0.0,-100,0.0,-134,0,0,0,0,0,0,/3DH,0,Left,No,No,No,No,No,No,No
