Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Bats,Under Mendoza Line?,20/20 Club,30/30 Club,40/40 Club,50/50 Club,60/60 Club,20/70 Club,30/70 Club,40/70 Club
Mike Trout,28,CF,1.8,53,241,199,41,56,9,2,17,46,1,1,35,56,0.281,0.39,0.603,0.993,167,0.414,163,120,1,3,0,4,4,*8/D,"MVP-5,SS",Right,No,No,No,No,No,No,No,No,No
Anthony Rendon,30,3B,2.2,52,232,189,29,54,11,1,9,31,0,0,38,31,0.286,0.418,0.497,0.915,150,0.399,152,94,10,5,0,0,2,*5,MVP-10,Right,No,No,No,No,No,No,No,No,No
Jared Walsh*,26,1B,0.7,32,108,99,19,29,4,2,9,26,0,0,5,15,0.293,0.324,0.646,0.971,157,0.399,152,64,0,1,0,3,0,3/H9D,ROY-7,Left,No,No,No,No,No,No,No,No,No
Albert Pujols,40,1B,-0.1,39,163,152,15,34,8,0,6,25,0,0,9,25,0.224,0.27,0.395,0.665,79,0.283,70,60,4,1,0,1,1,3D/H,0,Right,No,No,No,No,No,No,No,No,No
Shohei Ohtani*,25,DH,0.0,44,175,153,23,29,6,0,7,24,7,1,22,50,0.19,0.291,0.366,0.657,79,0.301,78,56,3,0,0,0,0,D/H1,0,Left,No,No,No,No,No,No,No,No,No
Justin Upton,32,LF,-0.6,42,166,147,20,30,5,0,9,22,0,2,11,43,0.204,0.289,0.422,0.711,92,0.305,90,62,6,7,0,1,0,7/D,0,Right,No,No,No,No,No,No,No,No,No
Max Stassi,29,C,1.0,31,105,90,12,25,2,0,7,20,0,0,11,21,0.278,0.352,0.533,0.886,138,0.371,132,48,5,1,0,3,0,2/H,0,Right,No,No,No,No,No,No,No,No,No
David Fletcher,26,SS,1.9,49,230,207,31,66,13,0,3,18,2,1,20,25,0.319,0.376,0.425,0.801,120,0.352,119,88,4,0,1,2,0,64/59,MVP-17,Right,No,No,No,No,No,No,No,No,No
Brian Goodwin*,29,OF,0.2,30,109,95,12,23,7,1,4,17,1,0,12,35,0.242,0.33,0.463,0.793,115,0.337,107,44,0,1,0,1,1,79/8H,0,Left,No,No,No,No,No,No,No,No,No
Tommy La Stella*,31,IF,0.4,28,117,99,15,27,8,0,4,14,1,0,15,7,0.273,0.371,0.475,0.845,130,0.375,133,47,3,1,1,1,0,43/DH,0,Left,No,No,No,No,No,No,No,No,No
Andrelton Simmons,30,SS,0.6,30,127,118,19,35,7,0,0,10,2,0,8,16,0.297,0.346,0.356,0.702,94,0.336,105,42,5,1,0,0,0,6,0,Right,No,No,No,No,No,No,No,No,No
Jo Adell,21,RF,-1.4,38,132,124,9,20,4,0,3,7,0,1,7,55,0.161,0.212,0.266,0.478,30,0.206,19,33,3,1,0,0,0,9/8H,0,Right,No,No,No,No,No,No,No,No,No
Jason Castro*,33,C,0.0,18,62,52,5,10,4,0,2,6,0,0,10,23,0.192,0.323,0.385,0.707,93,0.314,92,20,1,0,0,0,0,2/H,0,Left,No,No,No,No,No,No,No,No,No
Anthony Bemboom*,30,C,0.4,21,60,48,9,10,1,0,3,5,0,1,7,13,0.208,0.328,0.417,0.744,103,0.314,98,20,0,2,2,1,0,2/1H,0,Left,No,No,No,No,No,No,No,No,No
Taylor Ward,26,OF,0.1,34,102,94,16,26,6,2,0,5,2,0,8,28,0.277,0.333,0.383,0.716,96,0.337,105,36,1,0,0,0,0,97/H3D,0,Right,No,No,No,No,No,No,No,No,No
Luis Rengifo#,23,2B,-0.3,33,106,90,12,14,1,0,1,3,3,1,14,26,0.156,0.269,0.2,0.469,32,0.235,35,18,2,0,2,0,0,4/56H,0,Both,No,No,No,No,No,No,No,No,No
Franklin Barreto,24,UT,-0.2,6,18,17,0,2,0,0,0,2,1,0,0,8,0.118,0.167,0.118,0.284,-20,0.153,-29,2,0,1,0,0,0,/4567H,0,Right,No,No,No,No,No,No,No,No,No
Michael Hermosillo,25,OF,0.0,7,10,8,0,2,0,0,0,2,1,0,1,1,0.25,0.3,0.25,0.55,54,0.264,40,2,0,0,0,1,0,/78H,0,Right,No,No,No,No,No,No,No,No,No
Matt Thaiss*,25,UT,-0.3,8,25,21,3,3,0,0,1,1,0,0,4,8,0.143,0.28,0.286,0.566,56,0.263,56,6,1,0,0,0,0,/3D457H,0,Left,No,No,No,No,No,No,No,No,No
Jahmai Jones,22,2B,0.1,3,7,7,2,3,0,0,0,1,0,0,0,2,0.429,0.429,0.429,0.857,137,0.513,231,3,0,0,0,0,0,/4H,0,Right,No,No,No,No,No,No,No,No,No
Elliot Soto,30,MI,0.1,3,7,6,2,2,1,0,0,0,0,0,1,1,0.333,0.429,0.5,0.929,154,0.405,155,3,0,0,0,0,0,/64H,0,Right,No,No,No,No,No,No,No,No,No
José Briceño,27,C,0.0,2,6,5,0,1,0,0,0,0,0,0,1,1,0.2,0.333,0.2,0.533,52,0.266,59,1,0,0,0,0,0,/2,0,Right,No,No,No,No,No,No,No,No,No
Cam Bedrosian,28,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No,No,No
