Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards
Aaron Judge,32,CF,10.8,158,704,559,122,180,36,1,58,144,10,0,133,171,0.322,0.458,0.701,1.159,223,0.484,223,392,22,9,0,2,20,*8D/97,"AS,MVP-1,SS"
Juan Soto*,25,RF,7.9,157,713,576,128,166,31,4,41,109,7,4,129,119,0.288,0.419,0.569,0.989,178,0.424,179,328,10,4,0,4,2,*9/7DH,"AS,MVP-3,SS"
Giancarlo Stanton,34,DH,0.7,114,459,417,49,97,20,0,27,72,0,0,38,143,0.233,0.298,0.475,0.773,115,0.33,112,198,17,2,0,2,2,*D/H,0
Gleyber Torres,27,2B,1.8,154,665,587,80,151,26,0,15,63,4,3,65,136,0.257,0.33,0.378,0.709,101,0.318,103,222,6,3,2,8,0,*4/H,0
Alex Verdugo*,28,LF,0.8,149,621,559,74,130,28,1,13,61,2,1,49,93,0.233,0.291,0.356,0.647,83,0.288,81,199,14,1,2,10,0,*79/8,0
Anthony Volpe,23,SS,3.4,160,689,637,90,155,27,7,12,60,28,7,42,156,0.243,0.293,0.364,0.657,86,0.296,84,232,9,4,2,3,1,*6/H,0
Austin Wells*,24,C,2.5,115,414,354,42,81,18,1,13,55,1,2,47,87,0.229,0.322,0.395,0.718,103,0.318,104,140,9,5,1,7,0,*2H/D,ROY-3
Oswaldo Cabrera#,25,3B,1.3,108,326,299,47,74,11,0,8,36,4,2,21,63,0.247,0.296,0.365,0.661,87,0.3,90,109,6,1,2,3,0,5H34/6791,0
Anthony Rizzo*,34,1B,0.2,92,375,337,38,77,12,0,8,35,0,0,27,65,0.228,0.301,0.335,0.637,81,0.297,88,113,7,9,0,2,0,3/H,0
Trent Grisham*,27,CF,0.4,76,209,179,21,34,8,0,9,31,1,1,22,57,0.19,0.29,0.385,0.675,90,0.306,95,69,5,4,1,2,1,8H/D,0
Jose Trevino,31,C,0.6,73,234,209,26,45,5,0,8,28,1,0,20,41,0.215,0.288,0.354,0.642,81,0.287,80,74,12,2,1,2,0,2/H1,0
DJ LeMahieu,35,CI,-1.6,67,228,201,19,41,5,0,2,26,0,1,19,35,0.204,0.269,0.259,0.527,51,0.244,51,52,13,1,1,6,0,35/H,0
Jazz Chisholm Jr.*,26,3B,1.5,46,191,176,28,48,7,0,11,23,18,2,14,45,0.273,0.325,0.5,0.825,130,0.373,130,88,2,0,0,1,0,5/8,0
Ben Rice*,25,1B,-0.4,50,178,152,20,26,6,0,7,23,0,1,20,48,0.171,0.264,0.349,0.613,72,0.275,74,53,2,1,0,5,0,3/H2,0
Jon Berti,34,3B,0.6,25,74,66,10,18,0,0,1,6,5,1,6,14,0.273,0.342,0.318,0.661,90,0.334,108,21,2,1,1,0,0,5/H47D,0
Jasson Domínguez#,21,OF,-0.1,18,67,56,8,10,1,0,2,4,5,0,11,19,0.179,0.313,0.304,0.617,77,0.315,88,17,0,0,0,0,0,7/8HD,0
Jahmai Jones,26,UT,0.0,33,47,42,8,10,1,1,1,4,1,1,2,16,0.238,0.304,0.381,0.685,93,0.293,89,16,0,2,1,0,0,H/9D745,0
J.D. Davis,31,1B,-0.2,7,22,19,1,2,1,0,0,1,0,0,3,9,0.105,0.227,0.158,0.385,13,0.191,12,3,2,0,0,0,0,/3DH,0
Oswald Peraza,24,3B,0.1,4,11,10,2,2,0,0,1,1,0,0,1,3,0.2,0.273,0.5,0.773,113,0.329,110,5,0,0,0,0,0,/5,0
Carlos Narváez,25,C,0.1,6,15,13,0,3,0,0,0,0,0,0,2,6,0.231,0.333,0.231,0.564,65,0.27,69,3,0,0,0,0,0,/2H,0
Taylor Trammell*,26,OF,-0.1,5,2,1,2,1,0,0,0,0,0,0,1,0,1.0,1.0,1.0,2.0,472,0.79,435,1,0,0,0,0,0,/H79D,0
Duke Ellis*,26,LF,0.1,3,1,1,0,1,0,0,0,0,1,0,0,0,1.0,1.0,1.0,2.0,473,1.142,536,1,0,0,0,0,0,/H7,0
Kevin Smith,27,DH,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,/HD,0
