Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP
Bullet Rogan,34,UT,1.8,64,220,201,40,70,14,5,3,41,5,16,0.348,0.405,0.512,0.917,149.0,0.415,148.0,103,3
Dink Mothell#,30,2B,1.3,66,271,242,51,72,14,1,4,39,15,21,0.298,0.373,0.413,0.786,114.0,0.372,117.0,100,8
Newt Allen,27,SS,2.1,74,320,295,43,81,13,4,2,39,19,23,0.275,0.331,0.366,0.697,90.0,0.331,91.0,108,2
George Giles*,19,1B,1.3,72,292,271,38,82,11,7,1,38,6,19,0.303,0.353,0.406,0.759,107.0,0.349,106.0,110,2
Newt Joseph,31,3B,0.9,76,308,277,43,72,12,2,2,38,20,29,0.26,0.334,0.339,0.674,84.0,0.326,87.0,94,2
LeRoy Taylor*,25,RF,0.5,75,294,277,44,77,4,0,0,27,13,13,0.278,0.32,0.292,0.612,68.0,0.295,70.0,81,4
Frank Duncan,27,C,1.2,49,171,150,18,41,8,1,3,23,3,19,0.273,0.363,0.4,0.763,108.0,0.355,110.0,60,2
L.D. Livingston,23,LF,-0.2,39,138,123,16,33,5,4,1,21,1,12,0.268,0.348,0.398,0.746,103.0,0.345,104.0,49,3
Eddie Dwight,23,CF,0.2,73,277,250,43,67,5,5,0,16,29,22,0.268,0.339,0.328,0.667,83.0,0.329,86.0,82,5
Tom Young*,25,C,0.6,39,114,105,11,28,7,1,0,13,2,8,0.267,0.325,0.352,0.677,85.0,0.315,86.0,37,1
Halley Harding#,23,OF,0.3,22,86,76,9,21,2,0,0,7,5,9,0.276,0.36,0.303,0.663,83.0,0.329,89.0,23,1
Andy Cooper,31,P,0.4,23,52,49,5,13,3,1,0,6,0,3,0.265,0.308,0.367,0.675,84.0,0.311,82.0,18,0
William Bell,30,P,0.4,29,68,65,7,17,5,0,0,4,0,3,0.262,0.294,0.338,0.633,72.0,0.293,71.0,22,0
Chet Brewer#,21,P,0.0,23,48,46,3,10,1,0,0,3,1,2,0.217,0.25,0.239,0.489,34.0,0.232,33.0,11,0
Army Cooper*,28,P,0.1,20,40,38,8,8,2,1,0,2,1,2,0.211,0.25,0.316,0.566,53.0,0.261,50.0,12,0
Harry Kenyon,34,OF,-0.7,15,46,46,3,8,0,0,0,2,3,0,0.174,0.174,0.174,0.348,-5.0,0.169,-11.0,8,0
Reginald Hopwood,22,OF,-0.2,6,22,17,2,2,0,1,0,1,1,3,0.118,0.318,0.235,0.553,53.0,0.293,67.0,4,2
Hubert Wilson,25,P,-0.1,6,13,13,1,1,0,0,0,0,1,0,0.077,0.077,0.077,0.154,-58.0,0.08,-68.0,1,0
