Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP
Bullet Rogan,35,CF,3.5,72,301,259,65,93,16,9,7,69,26,41,0.359,0.449,0.571,1.02,164.0,0.464,165.0,148,1
Newt Allen,28,2B,2.5,74,319,295,65,98,27,6,3,54,23,24,0.332,0.382,0.495,0.877,127.0,0.402,127.0,146,0
LeRoy Taylor*,26,RF,1.9,73,293,274,60,98,8,10,1,51,34,18,0.358,0.399,0.471,0.87,126.0,0.407,127.0,129,1
L.D. Livingston,24,LF,1.0,74,287,255,51,70,9,12,5,50,6,32,0.275,0.355,0.463,0.818,112.0,0.367,110.0,118,0
Newt Joseph,32,3B,1.2,69,259,226,37,65,7,2,4,40,7,32,0.288,0.378,0.389,0.768,100.0,0.358,105.0,88,1
Dink Mothell#,31,1B,0.0,70,296,263,53,64,12,2,4,40,16,32,0.243,0.328,0.35,0.678,77.0,0.323,78.0,92,1
Frank Duncan,28,C,1.5,45,161,140,26,49,7,4,1,38,8,20,0.35,0.435,0.479,0.913,138.0,0.422,142.0,67,1
Tom Young*,26,C,1.8,44,147,137,37,51,10,4,5,37,8,10,0.372,0.415,0.613,1.028,164.0,0.458,163.0,84,0
Halley Harding#,24,SS,2.3,74,339,305,64,96,23,9,0,34,13,34,0.315,0.383,0.449,0.833,116.0,0.382,117.0,137,0
William Bell,31,P,0.6,26,74,67,10,20,3,0,0,11,0,7,0.299,0.365,0.343,0.708,86.0,0.336,90.0,23,0
Eddie Dwight,24,,0.2,11,35,33,8,10,0,1,1,7,5,2,0.303,0.343,0.455,0.797,106.0,0.372,104.0,15,0
Army Cooper*,29,P,0.2,27,57,52,8,12,0,1,0,5,1,5,0.231,0.298,0.269,0.567,49.0,0.271,50.0,14,0
Andy Cooper,32,P,0.5,21,45,40,3,11,0,2,1,5,0,5,0.275,0.356,0.45,0.806,109.0,0.364,107.0,18,0
Chet Brewer#,22,P,0.5,23,57,54,4,18,1,1,0,3,3,3,0.333,0.368,0.389,0.757,98.0,0.355,99.0,21,0
Hubert Wilson,26,P,0.0,11,22,21,6,4,2,0,0,3,0,1,0.19,0.227,0.286,0.513,33.0,0.235,26.0,6,0
