Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,Pos.1,Awards
1,Aurelio Cortés,26,C,0.5,41,143,132,16,38,3,2,2,24,4,11,.288,.343,.386,.729,97,.338,98,51,0,2/37,
2,Felipe Sierra,28,1B,0.2,46,177,159,21,42,5,2,2,19,2,17,.264,.339,.358,.697,89,.327,92,57,1,3/9745,
3,Ángel Alfonso,29,2B,1.4,48,195,168,32,46,7,3,5,29,10,26,.274,.374,.440,.815,120,.382,120,74,1,*4,
4,Marcelino Bauza,22,SS,-0.8,48,177,165,17,28,3,1,1,7,0,12,.170,.226,.218,.444,21,.216,25,36,0,*6,
5,Ramón Hernández,23,3B,-0.2,48,177,162,18,33,4,1,4,20,0,15,.204,.271,.315,.586,58,.275,60,51,0,*5,
6,Lázaro Salazar*,17,LF,-0.4,44,162,147,20,33,2,2,1,16,2,15,.224,.296,.286,.582,58,.278,63,42,0,7/91,
7,Cando López,24,CF,-1.1,46,199,189,28,36,3,2,2,21,9,10,.190,.231,.259,.490,32,.235,34,49,0,*8/9,
8,Rogelio Alonso,24,RF,0.6,45,199,181,27,55,6,4,0,16,6,16,.304,.367,.381,.748,103,.351,105,69,2,*9/718,
Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,Pos,Awards
9,Pedro Díaz,20,C,1.0,39,117,100,16,29,6,4,3,19,2,17,.290,.393,.520,.913,145,.410,140,52,0,23/5,
Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,Pos,Awards
10,Heliodoro Díaz,25,P,0.3,25,58,52,7,12,2,0,1,10,1,6,.231,.310,.327,.637,72,.301,76,17,0,1/79,
11,Jesús Lorenzo,24,P,0.0,22,47,45,7,11,1,1,0,4,0,2,.244,.277,.311,.588,59,.274,59,14,0,1/379,
12,Luis Tiant*,23,P,-0.4,21,46,43,0,3,0,0,0,2,0,3,.070,.130,.070,.200,-44,.110,-38,3,0,1,
13,Alcibíades Palma,26,P,0.0,12,19,17,1,4,0,0,0,1,0,2,.235,.316,.235,.551,51,.277,61,4,0,/137,
14,Guillermo Molina,21,P,-0.1,7,15,15,0,2,1,0,0,1,0,0,.133,.133,.200,.333,-11,.149,-15,3,0,/12,
,Team Totals,,,1.1,48,1731,1575,210,372,43,22,21,189,36,152,.236,.305,.331,.636,72,.300,75,522,4,,
,Non-Pitcher Totals,,,1.2,,1546,1403,195,340,39,21,20,171,35,139,.242,.312,.343,.655,77,.309,79,481,4,,
,Pitcher Totals,,,-0.1,,185,172,15,32,4,1,1,18,1,13,.186,.243,.238,.482,31,.232,35,41,0,,
